STATE,YEAR,GRAIN,TEMP_MEAN,TEMP_MIN,TEMP_MAX,PCP_SUM,PDSI_MEAN
IOWA,1942,60.0,47.64166666666666,10.4,85.1,32.57,2.0575
MINNESOTA,1942,46.0,40.766666666666666,-0.2,78.6,28.2,2.3175
MISSOURI,1942,36.0,54.44166666666666,18.6,89.6,46.0,2.1283333333333334
NEBRASKA,1942,32.0,48.21666666666667,11.9,90.1,25.2,1.6241666666666663
ILLINOIS,1943,50.0,50.958333333333336,17.0,88.7,34.68,0.1324999999999999
INDIANA,1943,49.0,50.775,18.5,87.2,37.15,-0.4458333333333333
IOWA,1943,55.0,46.541666666666664,5.4,86.5,31.09,1.7591666666666663
MINNESOTA,1943,42.5,39.041666666666664,-9.6,83.2,26.88,2.6358333333333333
MISSOURI,1943,31.5,53.975,18.2,91.0,38.19,0.4641666666666666
NEBRASKA,1943,27.0,48.99166666666667,7.3,90.6,17.57,-1.2641666666666669
ILLINOIS,1944,45.4,52.291666666666664,16.0,88.6,33.56,-1.5666666666666669
INDIANA,1944,40.1,52.225,16.9,89.6,33.22,-2.8125
IOWA,1944,52.5,48.05,10.6,84.2,36.66,2.299166666666667
MINNESOTA,1944,43.7,41.525,1.2,78.6,30.02,2.3833333333333333
MISSOURI,1944,33.5,54.7,19.8,90.4,39.59,-0.3408333333333333
NEBRASKA,1944,33.3,47.78333333333333,13.8,85.7,27.42,2.4208333333333334
ILLINOIS,1945,46.5,50.675,14.4,85.0,45.89,1.2583333333333335
INDIANA,1945,53.0,50.675,14.1,84.2,48.79,1.0408333333333333
IOWA,1945,44.5,46.4,8.6,83.4,34.21,2.2083333333333335
MINNESOTA,1945,39.0,38.93333333333333,-0.1,77.9,26.95,3.0
MISSOURI,1945,28.5,53.64166666666667,17.5,88.4,51.73,2.7775
NEBRASKA,1945,29.0,47.666666666666664,9.4,86.7,23.06,2.2383333333333333
ILLINOIS,1946,56.0,53.71666666666667,19.6,87.6,39.43,1.6291666666666669
INDIANA,1946,51.0,53.30833333333334,19.4,86.9,35.96,-0.9
IOWA,1946,57.0,49.30833333333334,11.0,84.7,34.85,1.4825
MINNESOTA,1946,45.5,40.65833333333334,-2.1,80.6,28.14,2.275
MISSOURI,1946,37.5,56.73333333333333,22.4,91.0,43.28,0.385
NEBRASKA,1946,29.5,50.44166666666666,14.6,89.9,24.75,0.0366666666666666
ILLINOIS,1947,39.5,51.275,14.2,92.9,37.26,0.145
INDIANA,1947,43.0,50.61666666666667,13.5,90.1,39.62,-0.1558333333333333
IOWA,1947,31.0,47.48333333333334,7.1,92.4,34.44,0.08
MINNESOTA,1947,38.0,39.825,-2.2,84.0,25.38,0.7749999999999999
